이름,유형,리뷰 수,주소,영업 시간,포장 및 반려동물 동반 가능 여부,메뉴
누뗀,"카페,디저트",999,서울 서초구 청계산로 119 지하1층~2층,"[{'day': '월', 'hours': '10:30 - 19:00\n18:30 라스트오더'}, {'day': '화', 'hours': '10:30 - 19:00\n18:30 라스트오더'}, {'day': '수', 'hours': '정기휴무 (매주 수요일)'}, {'day': '목', 'hours': '10:30 - 19:00\n18:30 라스트오더'}, {'day': '금', 'hours': '10:30 - 19:00\n18:30 라스트오더'}, {'day': '토', 'hours': '10:30 - 19:00\n18:30 라스트오더'}, {'day': '일', 'hours': '10:30 - 19:00\n18:30 라스트오더'}]","{'포장 가능': True, '반려동물 동반 가능': True}","['크런치 잠봉뵈르', '라떼', '누라떼', '아메리카노']"
몬탁,베이커리,999,서울 서초구 서초대로32길 8 1층,"[{'day': '월', 'hours': '09:00 - 19:30'}, {'day': '화', 'hours': '09:00 - 19:30'}, {'day': '수', 'hours': '09:00 - 19:30'}, {'day': '목', 'hours': '09:00 - 19:30'}, {'day': '금', 'hours': '09:00 - 19:30'}, {'day': '토', 'hours': '09:00 - 19:30'}, {'day': '일', 'hours': '09:00 - 19:30'}]","{'포장 가능': True, '반려동물 동반 가능': False}","['휘낭시에', '레몬 마들렌', '까눌레', '몬탁 쿠키']"
크리스피파이,"카페,디저트",208,서울 서초구 효령로 258,"[{'day': '월', 'hours': '09:00 - 20:00'}, {'day': '화', 'hours': '09:00 - 20:00'}, {'day': '수', 'hours': '09:00 - 20:00'}, {'day': '목', 'hours': '09:00 - 20:00'}, {'day': '금', 'hours': '09:00 - 20:00'}, {'day': '토', 'hours': '09:00 - 17:30'}, {'day': '일', 'hours': '정기휴무 (매주 일요일)'}]","{'포장 가능': True, '반려동물 동반 가능': False}","['피칸 파이', '초코 퍼지 타르트', '블루베리 소보루', '딸기 타르트(계절)']"
하리호베이커리,"카페,디저트",999,서울 서초구 사평대로53길 8-1 상가 1층 102호,"[{'day': '월', 'hours': '11:30 - 18:30'}, {'day': '화', 'hours': '11:30 - 18:30'}, {'day': '수', 'hours': '11:30 - 18:30'}, {'day': '목', 'hours': '11:30 - 18:30'}, {'day': '금', 'hours': '11:30 - 18:30'}, {'day': '토', 'hours': '11:00 - 17:00'}, {'day': '일', 'hours': '정기휴무 (매주 일요일)'}]","{'포장 가능': True, '반려동물 동반 가능': False}","['선물포장 패키지', '몽블랑 휘낭시에', '두바이초콜릿 휘낭시에', '솔티 카라멜 휘낭시에']"
쿄 베이커리 X 카페더인피닛,베이커리,999,서울 서초구 사평대로58길 6,"[{'day': '매일', 'hours': '08:00 - 21:00'}]","{'포장 가능': True, '반려동물 동반 가능': False}","['WHITE', '애기궁둥이', 'BLACK', '후르츠건강빵']"
미니말레 뢰스터리&커피바 서초교대점,카페,999,서울 서초구 반포대로30길 70 1층,"[{'day': '월', 'hours': '08:00 - 20:00'}, {'day': '화', 'hours': '08:00 - 20:00'}, {'day': '수', 'hours': '08:00 - 20:00'}, {'day': '목', 'hours': '08:00 - 20:00'}, {'day': '금', 'hours': '08:00 - 20:00'}, {'day': '토', 'hours': '09:00 - 19:00'}, {'day': '일', 'hours': '09:00 - 19:00'}]","{'포장 가능': True, '반려동물 동반 가능': False}","['헬싱키 라떼 (시그니처)', '아메리카노 (밸런스)', '아메리카노 (듄켈)', '라떼']"
김영모과자점 서초동성당점,베이커리,999,서울 서초구 서초대로64길 41-4,"[{'day': '월', 'hours': '08:00 - 22:30'}, {'day': '화', 'hours': '08:00 - 22:30'}, {'day': '수', 'hours': '08:00 - 22:30'}, {'day': '목', 'hours': '08:00 - 22:30'}, {'day': '금', 'hours': '08:00 - 22:30'}, {'day': '토', 'hours': '08:00 - 22:30'}, {'day': '일', 'hours': '08:00 - 22:30'}]","{'포장 가능': False, '반려동물 동반 가능': False}","['몽블랑', '바게트샌드위치', '마늘바게트', '소금빵']"
보아즈,브런치카페,999,서울 서초구 양재천로 53 1 2 3층,"[{'day': '월', 'hours': '정보 없음'}, {'day': '화', 'hours': '정보 없음'}, {'day': '수', 'hours': '정보 없음'}, {'day': '목', 'hours': '정보 없음'}, {'day': '금', 'hours': '정보 없음'}, {'day': '토', 'hours': '정보 없음'}, {'day': '일', 'hours': '정보 없음'}]","{'포장 가능': True, '반려동물 동반 가능': False}","['잠봉 모짜 파니니', '목살 샐러드', '아메리카노', '베이글']"
토비커피,"카페,디저트",999,서울 서초구 방배천로24길 11 1층 토비커피,"[{'day': '월', 'hours': '10:00 - 22:00'}, {'day': '화', 'hours': '10:00 - 22:00'}, {'day': '수', 'hours': '10:00 - 22:00'}, {'day': '목', 'hours': '10:00 - 22:00'}, {'day': '금', 'hours': '10:00 - 22:00'}, {'day': '토', 'hours': '12:00 - 22:00'}, {'day': '일', 'hours': '10:00 - 22:00'}]","{'포장 가능': True, '반려동물 동반 가능': False}","['아메리카노', '라떼', '바닐라라떼', '플랫화이트']"
도마 베이커리 앤 테스트키친,베이커리,689,서울 서초구 강남대로23길 12 1층~3층,"[{'day': '월', 'hours': '11:00 - 15:00\n14:00 라스트오더'}, {'day': '화', 'hours': '11:00 - 21:00\n14:00 - 17:30 브레이크타임\n20:00 라스트오더'}, {'day': '수', 'hours': '11:00 - 21:00\n14:00 - 17:30 브레이크타임\n20:00 라스트오더'}, {'day': '목', 'hours': '11:00 - 21:00\n14:00 - 17:30 브레이크타임\n20:00 라스트오더'}, {'day': '금', 'hours': '11:00 - 21:00\n14:00 - 17:30 브레이크타임\n20:00 라스트오더'}, {'day': '토', 'hours': '정기휴무 (매주 토요일)'}, {'day': '일', 'hours': '11:00 - 16:00\n15:00 라스트오더'}]","{'포장 가능': True, '반려동물 동반 가능': False}","['포르게타 BBQ 스테이크 플레이트', '평창 양송이 버섯 파스타', '당근라페 치킨 샐러드', '허브 마리네이드 치킨 바질크림 파스타']"
르뺑아쎄르,베이커리,999,서울 서초구 서래로 17,"[{'day': '매일', 'hours': '08:00 - 22:00\n21:30 라스트오더'}]","{'포장 가능': True, '반려동물 동반 가능': False}","['아메리카노', '티', '베이커리류']"
레프레미스,"카페,디저트",808,서울 서초구 남부순환로337길 36 1층,"[{'day': '월(11/11)', 'hours': '11:30 - 18:00'}, {'day': '화', 'hours': '11:30 - 19:00'}, {'day': '수', 'hours': '11:30 - 19:00'}, {'day': '목', 'hours': '11:30 - 19:00'}, {'day': '금', 'hours': '11:30 - 19:00'}, {'day': '토', 'hours': '11:30 - 19:00'}, {'day': '일', 'hours': '정기휴무 (매주 일요일)'}]","{'포장 가능': True, '반려동물 동반 가능': False}","['프랑스정통마카롱 6개입 ( 노밀가루 고급선물세트 )', '블루치즈', '바닐라', '유자']"
아티장 베이커스 서래점,베이커리,999,서울 서초구 서래로 35,"[{'day': '월', 'hours': '정기휴무 (매주 월요일)'}, {'day': '화', 'hours': '09:00 - 21:00\n20:30 라스트오더'}, {'day': '수', 'hours': '09:00 - 21:00\n20:30 라스트오더'}, {'day': '목', 'hours': '09:00 - 21:00\n20:30 라스트오더'}, {'day': '금', 'hours': '09:00 - 21:00\n20:30 라스트오더'}, {'day': '토', 'hours': '09:00 - 21:00\n20:30 라스트오더'}, {'day': '일', 'hours': '09:00 - 21:00\n20:30 라스트오더'}]","{'포장 가능': True, '반려동물 동반 가능': False}","['아티장 라우겐 크로아상', '플레인 크로아상', '감자 양파 치아바타', '애플 파이']"
빽다방 빵연구소 신사사거리점,테이크아웃커피,999,서울 서초구 강남대로 605 휴먼타워 1층,"[{'day': '월', 'hours': '07:30 - 20:00\n19:50 라스트오더'}, {'day': '화', 'hours': '07:30 - 20:00\n19:50 라스트오더'}, {'day': '수', 'hours': '07:30 - 20:00\n19:50 라스트오더'}, {'day': '목', 'hours': '07:30 - 20:00\n19:50 라스트오더'}, {'day': '금', 'hours': '07:30 - 20:00\n19:50 라스트오더'}, {'day': '토', 'hours': '07:30 - 20:00\n19:50 라스트오더'}, {'day': '일', 'hours': '11:00 - 18:00\n17:50 라스트오더'}]","{'포장 가능': True, '반려동물 동반 가능': False}","['고구마라떼(HOT)', '아메리카노(ICED)', '아이스티샷추가(아.샷.추)', '바닐라라떼(ICED)']"
베키아에누보 강남점,케이크전문,999,서울 서초구 신반포로 176 신세계백화점 강남점 1M 메짜닌층,"[{'day': '월', 'hours': '10:30 - 20:00'}, {'day': '화', 'hours': '10:30 - 20:00'}, {'day': '수', 'hours': '10:30 - 20:00'}, {'day': '목', 'hours': '10:30 - 20:00'}, {'day': '금', 'hours': '10:30 - 20:30'}, {'day': '토', 'hours': '10:30 - 20:30'}, {'day': '일', 'hours': '10:30 - 20:30'}]","{'포장 가능': True, '반려동물 동반 가능': False}","['블랙 누들 파스타', '브리&가지 파니니', '치킨 커리 샌드위치', '치킨 토스타다']"
카페 마몽드,"카페,디저트",440,서울 서초구 양재천로 103-18 102호,"[{'day': '월', 'hours': '09:00 - 22:00\n21:30 라스트오더'}, {'day': '화', 'hours': '09:00 - 22:00\n21:30 라스트오더'}, {'day': '수', 'hours': '09:00 - 22:00\n21:30 라스트오더'}, {'day': '목', 'hours': '09:00 - 22:00\n21:30 라스트오더'}, {'day': '금', 'hours': '09:00 - 22:00\n21:30 라스트오더'}, {'day': '토', 'hours': '12:00 - 22:00\n21:30 라스트오더'}, {'day': '일', 'hours': '12:00 - 19:00\n18:30 라스트오더'}]","{'포장 가능': True, '반려동물 동반 가능': True}","['샤인머스켓요거트생크림케이크', '빅토리아케이크', '초코바나나케이크', '수플레 푸르츠 롤케이크']"
브레댄코 내방본점,베이커리,999,서울 서초구 방배로 166 한승빌딩 1층,"[{'day': '월', 'hours': '07:00 - 21:00\n20:00 라스트오더'}, {'day': '화', 'hours': '07:00 - 21:00\n20:00 라스트오더'}, {'day': '수', 'hours': '07:00 - 21:00\n20:00 라스트오더'}, {'day': '목', 'hours': '07:00 - 21:00\n20:00 라스트오더'}, {'day': '금', 'hours': '07:00 - 21:00\n20:00 라스트오더'}, {'day': '토', 'hours': '07:30 - 21:00\n20:00 라스트오더'}, {'day': '일', 'hours': '07:30 - 21:00\n20:00 라스트오더'}]","{'포장 가능': True, '반려동물 동반 가능': False}","['믹스커피', '매콤 치킨 또띠아', '하와이안 피자 바게트', '오리지널 피자 바게트']"
라파티세리킴,베이커리,999,서울 서초구 방배로 16 주심빌딩 1층,"[{'day': '월', 'hours': '08:00 - 22:00'}, {'day': '화', 'hours': '08:00 - 22:00'}, {'day': '수', 'hours': '08:00 - 22:00'}, {'day': '목', 'hours': '08:00 - 22:00'}, {'day': '금', 'hours': '08:00 - 22:00'}, {'day': '토', 'hours': '08:00 - 22:00'}, {'day': '일', 'hours': '08:00 - 22:00'}]","{'포장 가능': True, '반려동물 동반 가능': False}","['먹물크림치즈바게트', '쑥떡빵', '소금빵', '몽블랑']"
카페 그린포레스트,카페,68,서울 서초구 청룡마을길 47 1층,"[{'day': '월', 'hours': '11:30 - 19:30'}, {'day': '화', 'hours': '11:30 - 19:30'}, {'day': '수', 'hours': '11:30 - 19:30'}, {'day': '목', 'hours': '11:30 - 19:30'}, {'day': '금', 'hours': '11:30 - 19:30'}, {'day': '토', 'hours': '11:30 - 19:30'}, {'day': '일', 'hours': '11:30 - 19:30'}]","{'포장 가능': True, '반려동물 동반 가능': True}","['오레오 테린느', '말차 테린느', '초코 테린느', '치즈 테린느']"
부창제과 신세계백화점 강남점,호두과자,34,서울 서초구 신반포로 176 강남신세계백화점 지하 1층,"[{'day': '월', 'hours': '10:30 - 20:00'}, {'day': '화', 'hours': '10:30 - 20:00'}, {'day': '수', 'hours': '10:30 - 20:00'}, {'day': '목', 'hours': '10:30 - 20:00'}, {'day': '금', 'hours': '10:30 - 20:30'}, {'day': '토', 'hours': '10:30 - 20:30'}, {'day': '일', 'hours': '10:30 - 20:30'}]","{'포장 가능': True, '반려동물 동반 가능': False}","['우유니소금 호두과자', '1963 부창라떼', '센베이 아이스께끼', '팥앙금 호두과자']"
바타드브레드,베이커리,449,서울 서초구 효령로70길 36-27 1층,"[{'day': '월', 'hours': '정기휴무 (매주 월요일)'}, {'day': '화', 'hours': '08:00 - 20:00'}, {'day': '수', 'hours': '08:00 - 20:00'}, {'day': '목', 'hours': '08:00 - 20:00'}, {'day': '금', 'hours': '08:00 - 20:00'}, {'day': '토', 'hours': '08:00 - 20:00'}, {'day': '일', 'hours': '08:00 - 20:00'}]","{'포장 가능': False, '반려동물 동반 가능': False}","['바타드 사워도우', '스페셜 사워도우', '사워도우치아바타', '델리 스프']"
스타벅스 파미에파크R점,카페,999,서울 서초구 사평대로 205 (반포동) CENTRALCITY,"[{'day': '월(11/11)', 'hours': '06:30 - 22:00'}, {'day': '화(11/12)', 'hours': '06:30 - 22:00'}, {'day': '수(11/13)', 'hours': '06:30 - 22:00'}, {'day': '목(11/14)', 'hours': '06:30 - 22:00'}, {'day': '금(11/15)', 'hours': '06:30 - 22:00'}, {'day': '토(11/16)', 'hours': '07:00 - 22:00'}, {'day': '일(11/17)', 'hours': '08:00 - 22:00'}]","{'포장 가능': False, '반려동물 동반 가능': False}","['토피 넛 라떼', '스타벅스 딸기 라떼', '골든 캐모마일 릴렉서', '산타 베어리스타 케이크']"
포비 강남점,베이커리,999,서울 서초구 사평대로 205 센트럴시티 파미에스테이션 1층 106호,"[{'day': '매일', 'hours': '08:00 - 22:00\n21:30 라스트오더'}]","{'포장 가능': False, '반려동물 동반 가능': False}","['잠봉뵈르 샌드위치', '허니밀크 베이글', '무화과 스프레드', '광화문 라떼']"
세컨클락,"카페,디저트",999,서울 서초구 청룡마을길 41,"[{'day': '월', 'hours': '정기휴무 (매주 월요일)'}, {'day': '화', 'hours': '10:00 - 18:00'}, {'day': '수', 'hours': '10:00 - 18:00'}, {'day': '목', 'hours': '10:00 - 18:00'}, {'day': '금', 'hours': '10:00 - 18:00'}, {'day': '토', 'hours': '10:00 - 18:00'}, {'day': '일', 'hours': '10:00 - 18:00'}]","{'포장 가능': True, '반려동물 동반 가능': True}","['에이드', '아인슈페너', '카페라떼', '아메리카노']"
JW 메리어트 호텔 서울 카페 원,"카페,디저트",651,서울 서초구 신반포로 176 JW 메리어트 호텔 서울 1층,"[{'day': '매일', 'hours': '08:00 - 20:00'}]","{'포장 가능': True, '반려동물 동반 가능': False}","['샐러드 시작가', '파니니 & 샌드위치 시작가', '파스타 & 리조또 시작가', '기타 식사 메뉴 시작가']"
카페참새방앗간,"카페,디저트",999,서울 서초구 방배천로4안길 66 1층,"[{'day': '월', 'hours': '11:00 - 22:00'}, {'day': '화', 'hours': '정기휴무 (매주 화요일)'}, {'day': '수', 'hours': '11:00 - 22:00'}, {'day': '목', 'hours': '11:00 - 22:00'}, {'day': '금', 'hours': '11:00 - 22:00'}, {'day': '토', 'hours': '11:00 - 22:00'}, {'day': '일', 'hours': '11:00 - 22:00'}]","{'포장 가능': True, '반려동물 동반 가능': False}","['미니케이크', '쌀)생망고듬뿍 케이크 ㅡ원판', '쌀)생망고 듬뿍 케이크_조각', '쌀)브라우니']"
하프커피 파미에스테이션,카페,999,서울 서초구 사평대로 205 센트럴시티 파미에스테이션 2층 FP212호,"[{'day': '매일', 'hours': '10:00 - 22:00\n21:30 라스트오더'}]","{'포장 가능': False, '반려동물 동반 가능': False}","['버터크림라떼', '버터크림라떼 Large', '바나나크림라떼', '말차크림라떼']"
밤부 베이커리&브루잉 서래,"카페,디저트",999,서울 서초구 동광로 77,"[{'day': '월', 'hours': '10:00 - 21:00'}, {'day': '화', 'hours': '10:00 - 21:00'}, {'day': '수', 'hours': '10:00 - 21:00'}, {'day': '목', 'hours': '10:00 - 21:00'}, {'day': '금', 'hours': '10:00 - 21:00'}, {'day': '토', 'hours': '10:00 - 21:00'}, {'day': '일', 'hours': '10:00 - 21:00'}]","{'포장 가능': True, '반려동물 동반 가능': False}",['아메리카노']
심재,"카페,디저트",999,서울 서초구 동산로2길 40,"[{'day': '월', 'hours': '09:00 - 22:00'}, {'day': '화', 'hours': '09:00 - 22:00'}, {'day': '수', 'hours': '09:00 - 22:00'}, {'day': '목', 'hours': '09:00 - 22:00'}, {'day': '금', 'hours': '09:00 - 22:00'}, {'day': '토', 'hours': '11:00 - 22:00'}, {'day': '일', 'hours': '11:00 - 22:00'}]","{'포장 가능': True, '반려동물 동반 가능': False}","['아몬드 크림 라떼', '화이트 에스프레소', '귀리 크림 라떼', '귀리 밀크 커피 셰이크']"
잔상,"카페,디저트",916,서울 서초구 언남1길 3 1층,"[{'day': '월', 'hours': '08:00 - 18:00'}, {'day': '화', 'hours': '08:00 - 18:00'}, {'day': '수', 'hours': '08:00 - 21:00'}, {'day': '목', 'hours': '08:00 - 21:00'}, {'day': '금', 'hours': '08:00 - 21:00'}, {'day': '토', 'hours': '12:00 - 21:00'}, {'day': '일', 'hours': '12:00 - 18:00'}]","{'포장 가능': False, '반려동물 동반 가능': False}","['양재동 밤피아', '잔상커피', '얼그레이오렌지케이크', '핸드드립 커피']"
로야디,"카페,디저트",81,서울 서초구 반포대로21길 57 1층,"[{'day': '월', 'hours': '11:00 - 19:00'}, {'day': '화', 'hours': '11:00 - 19:00'}, {'day': '수', 'hours': '11:00 - 19:00'}, {'day': '목', 'hours': '11:00 - 19:00'}, {'day': '금', 'hours': '11:00 - 19:00'}, {'day': '토', 'hours': '11:00 - 19:00'}, {'day': '일', 'hours': '정기휴무 (매주 일요일)'}]","{'포장 가능': True, '반려동물 동반 가능': False}","['쑥 찰떡브라우니(글루텐프리)', '오렌지초코 찰떡브라우니(글루텐프리)', '황치즈 찰떡브라우니(글루텐프리)', '솔티카라멜 찰떡브라우니(글루텐프리)']"
홍종흔베이커리 서초점,베이커리,999,서울 서초구 효령로 229 1층,"[{'day': '월', 'hours': '08:00 - 22:00'}, {'day': '화', 'hours': '08:00 - 22:00'}, {'day': '수', 'hours': '08:00 - 22:00'}, {'day': '목', 'hours': '08:00 - 22:00'}, {'day': '금', 'hours': '08:00 - 22:00'}, {'day': '토', 'hours': '08:00 - 22:00'}, {'day': '일', 'hours': '08:00 - 22:00'}]","{'포장 가능': False, '반려동물 동반 가능': False}","['소금빵', '바질바게트', '갈릭 바게트', '몽블랑']"
액트커피,"카페,디저트",616,서울 서초구 방배천로4안길 40 1층,"[{'day': '매일', 'hours': '12:00 - 22:00\n21:15 라스트오더'}]","{'포장 가능': False, '반려동물 동반 가능': True}","['액틀리라떼', '브라운치즈폭탄 크로플세트', '아메리카노', '썸머라떼']"
로즈드메,"카페,디저트",529,서울 서초구 방배천로4안길 61 1층,"[{'day': '월(11/11)', 'hours': '11:00 - 20:00'}, {'day': '화(11/12)', 'hours': '휴무'}, {'day': '수', 'hours': '11:00 - 20:00\n19:30 라스트오더'}, {'day': '목', 'hours': '11:00 - 20:00\n19:30 라스트오더'}, {'day': '금', 'hours': '11:00 - 20:00\n19:30 라스트오더'}, {'day': '토', 'hours': '11:00 - 20:00\n19:30 라스트오더'}, {'day': '일', 'hours': '11:00 - 20:00\n19:30 라스트오더'}]","{'포장 가능': True, '반려동물 동반 가능': True}","['두바이 초코 휘낭시에(찐 카다이프면)', '클래식 휘낭시에', '무화과 크림치즈 휘낭시에', '고급 (박스 포장+ 쇼핑백) 6구']"
룰커피,"카페,디저트",820,서울 서초구 반포대로7길 16 스타빌딩 1층,"[{'day': '월', 'hours': '정기휴무 (매주 월요일)'}, {'day': '화', 'hours': '정기휴무 (매주 화요일)'}, {'day': '수', 'hours': '10:00 - 18:00'}, {'day': '목', 'hours': '10:00 - 18:00'}, {'day': '금', 'hours': '10:00 - 18:00'}, {'day': '토', 'hours': '10:00 - 18:00'}, {'day': '일', 'hours': '10:00 - 18:00'}]","{'포장 가능': True, '반려동물 동반 가능': False}","['브루잉커피', '바스크치즈케이크', '아메리카노', '카페라떼']"
올라하이,"카페,디저트",587,서울 서초구 방배천로6길 19 1층 올라하이,"[{'day': '월', 'hours': '정기휴무 (매주 월요일)'}, {'day': '화', 'hours': '12:00 - 22:00'}, {'day': '수', 'hours': '12:00 - 22:00'}, {'day': '목', 'hours': '12:00 - 22:00'}, {'day': '금', 'hours': '12:00 - 22:00'}, {'day': '토', 'hours': '12:00 - 22:00'}, {'day': '일', 'hours': '12:00 - 22:00'}]","{'포장 가능': True, '반려동물 동반 가능': True}","['에그타르트', '녹차숲컵케이크', '군밤치즈케이크(1조각)', '바닐라스카치버터바']"
토다 베이글 서초점,베이글,999,서울 서초구 반포대로14길 26 드림타워 1층,"[{'day': '월', 'hours': '08:00 - 20:30\n19:30 라스트오더'}, {'day': '화', 'hours': '08:00 - 20:30\n19:30 라스트오더'}, {'day': '수', 'hours': '08:00 - 20:30\n19:30 라스트오더'}, {'day': '목', 'hours': '08:00 - 20:30\n19:30 라스트오더'}, {'day': '금', 'hours': '08:00 - 20:30\n19:30 라스트오더'}, {'day': '토', 'hours': '10:00 - 20:00\n19:00 라스트오더'}, {'day': '일', 'hours': '10:00 - 20:00\n19:00 라스트오더'}]","{'포장 가능': True, '반려동물 동반 가능': False}","['베이글', '크림치즈', '퍼플 주스', '클래식 모카']"
파티시안,"카페,디저트",999,서울 서초구 서초대로25길 37 1층,"[{'day': '월', 'hours': '정기휴무 (매주 월요일)'}, {'day': '화', 'hours': '11:30 - 21:00'}, {'day': '수', 'hours': '11:30 - 21:00'}, {'day': '목', 'hours': '11:30 - 21:00'}, {'day': '금', 'hours': '11:30 - 21:00'}, {'day': '토', 'hours': '12:00 - 21:00'}, {'day': '일', 'hours': '12:00 - 19:00'}]","{'포장 가능': True, '반려동물 동반 가능': False}","['구움과자 4종 세트', '사과 밀푀유', '푀이앙틴', '타르트 티라미수']"
쎄봉 크루아상 크로플마을,"카페,디저트",879,서울 서초구 방배천로2안길 45 1층,"[{'day': '매일', 'hours': '10:30 - 22:00'}]","{'포장 가능': True, '반려동물 동반 가능': False}","['진짜 카다이프로만든 두바이 크루아상', '오리지날 크로플', '피스타치오 초코 크루아상', '크루키']"
노티드 강남카카오,카페,999,서울 서초구 강남대로 429,"[{'day': '월', 'hours': '10:30 - 21:00'}, {'day': '화', 'hours': '10:30 - 21:00'}, {'day': '수', 'hours': '10:30 - 21:00'}, {'day': '목', 'hours': '10:30 - 21:00'}, {'day': '금', 'hours': '10:30 - 21:00'}, {'day': '토', 'hours': '10:30 - 21:00'}, {'day': '일', 'hours': '10:30 - 21:00'}]","{'포장 가능': True, '반려동물 동반 가능': True}","['우유생크림 도넛', '클래식 바닐라 도넛', '브라운 베어 케이크', '옐로우스마일 케이크']"
올웨이즈온,카페,972,서울 서초구 방배천로8길 16-12 1층 카페,"[{'day': '월', 'hours': '11:00 - 22:00'}, {'day': '화', 'hours': '11:00 - 22:00'}, {'day': '수', 'hours': '11:00 - 22:00'}, {'day': '목', 'hours': '11:00 - 22:00'}, {'day': '금', 'hours': '11:00 - 22:00'}, {'day': '토', 'hours': '11:00 - 22:00'}, {'day': '일', 'hours': '11:00 - 21:00'}]","{'포장 가능': True, '반려동물 동반 가능': True}","['오늘의 수프 (단호박 / 머쉬룸)', '아보카도 샐러드', '부라타 치즈 샐러드', '연어 샐러드']"
드렁큰빈,"카페,디저트",999,서울 서초구 사평대로55길 56 드렁큰 빈 B1F-5F,"[{'day': '매일', 'hours': '10:00 - 22:00'}]","{'포장 가능': True, '반려동물 동반 가능': False}","['드렁큰 빈 콜드브루 바틀', '드렁큰 빈 콜드브루', '에스프레소', '아메리카노']"
파리크라상 반포서래점,베이커리,999,서울 서초구 서래로5길 2 파리크라상 반포서래점,"[{'day': '매일', 'hours': '07:00 - 22:00'}]","{'포장 가능': True, '반려동물 동반 가능': False}","['그린 올리브 부메랑', '해피 버스데이 케익', '우리 땅콩 우리 단팥 소보루빵', '딸기 요거트 케이크 (2호)']"
삐아프 신세계백화점 강남점,초콜릿전문점,50,서울 서초구 신반포로 176 B1 스위트파크,"[{'day': '월', 'hours': '10:30 - 20:00'}, {'day': '화', 'hours': '10:30 - 20:00'}, {'day': '수', 'hours': '10:30 - 20:00'}, {'day': '목', 'hours': '10:30 - 20:00'}, {'day': '금', 'hours': '10:30 - 20:30'}, {'day': '토', 'hours': '10:30 - 20:30'}, {'day': '일', 'hours': '10:30 - 20:30'}]","{'포장 가능': True, '반려동물 동반 가능': False}","['감자 초콜릿 칩', '봉봉 15구 세트', '봉봉 10구 세트', '봉봉 6구 세트']"
toudou 뚜두,초콜릿전문점,122,서울 서초구 서래로5길 5 전곡빌딩 1층,"[{'day': '월', 'hours': '10:30 - 19:00\n18:50 라스트오더'}, {'day': '화', 'hours': '10:30 - 19:00\n18:50 라스트오더'}, {'day': '수', 'hours': '10:30 - 19:00\n18:50 라스트오더'}, {'day': '목', 'hours': '10:30 - 19:00\n18:50 라스트오더'}, {'day': '금', 'hours': '10:30 - 19:00\n18:50 라스트오더'}, {'day': '토', 'hours': '정기휴무 (매주 토요일)'}, {'day': '일', 'hours': '정기휴무 (매주 일요일)'}]","{'포장 가능': False, '반려동물 동반 가능': False}","['뚜두샌드(toudou Sand)', '뚜두반점', 'nounours 누눅스 5구', '하트 4구 (4pcs)']"
크레미엘,베이커리,999,"서울 서초구 양재천로21길 3 1층(양재동, 디와이빌딩)","[{'day': '월', 'hours': '11:00 - 19:00'}, {'day': '화', 'hours': '정기휴무 (매주 화요일)'}, {'day': '수', 'hours': '정기휴무 (매주 수요일)'}, {'day': '목', 'hours': '11:00 - 19:00'}, {'day': '금', 'hours': '11:00 - 19:00'}, {'day': '토', 'hours': '11:00 - 19:00'}, {'day': '일', 'hours': '11:00 - 19:00'}]","{'포장 가능': True, '반려동물 동반 가능': True}","['팡오쇼콜라', '초코 브리오슈', '쿠인아망', '카눌레']"
이탈리안썸머,브런치카페,259,서울 서초구 동산로2길 13 1층,"[{'day': '월', 'hours': '09:00 - 17:30\n17:00 라스트오더'}, {'day': '화', 'hours': '09:00 - 17:30\n17:00 라스트오더'}, {'day': '수', 'hours': '09:00 - 17:30\n17:00 라스트오더'}, {'day': '목', 'hours': '09:00 - 17:30\n17:00 라스트오더'}, {'day': '금', 'hours': '09:00 - 17:30\n17:00 라스트오더'}, {'day': '토', 'hours': '09:00 - 17:30\n17:00 라스트오더'}, {'day': '일', 'hours': '정기휴무 (매주 일요일)'}]","{'포장 가능': True, '반려동물 동반 가능': False}","['내가만든브런치', '푸타네스카 스파게티', '치즈 오븐 라구파스타', '매운 닭갈비 로제 파스타']"
테오브로마 쇼콜라티에,초콜릿전문점,746,서울 서초구 신반포로43길 23-18 2층,"[{'day': '월(11/11)', 'hours': '09:00 - 20:00'}, {'day': '화(11/12)', 'hours': '09:00 - 20:00'}, {'day': '수(11/13)', 'hours': '09:00 - 20:00'}, {'day': '목(11/14)', 'hours': '09:00 - 20:00'}, {'day': '금', 'hours': '09:00 - 18:00'}, {'day': '토(11/16)', 'hours': '10:00 - 18:00'}, {'day': '일(11/17)', 'hours': '10:00 - 18:00'}]","{'포장 가능': True, '반려동물 동반 가능': False}","['가나슈 초콜릿 12구', '에스프레소 초콜릿 12구', '골프공 초콜릿 4구', '축구공 초콜릿 4구']"
레어마카롱 교대점,"카페,디저트",999,서울 서초구 반포대로24길 47 1층,"[{'day': '월', 'hours': '10:00 - 20:00'}, {'day': '화', 'hours': '10:00 - 20:00'}, {'day': '수', 'hours': '10:00 - 20:00'}, {'day': '목', 'hours': '10:00 - 20:00'}, {'day': '금', 'hours': '10:00 - 20:00'}, {'day': '토', 'hours': '09:30 - 17:00'}, {'day': '일', 'hours': '정기휴무 (매주 일요일)'}]","{'포장 가능': True, '반려동물 동반 가능': False}","['밀크티', '레어솔티드 더치', '마카롱', '아메리카노']"
