uuid,name,slope,parking_area,number_of_households,area,is_remodeled,construction_year,green_space_area,internet_speed,rating,common_area_cleaning_frequancy,garbage_recycling_frequency,concierge_service,average_price_per_pyeong,newlyweds_benefits,pop,pop_ratio,pop_increase,taxi,income,income_increase,geometry
apartment_1165010639,블루힐하우스,0.335742742,129,125,599.03,거짓,1999,19.606747,,7,매주,매주,1,50346990.35,,450,"[0.34552789, 6.016957033, 11.06082933, 16.24439251, 23.67634751, 20.46559552, 15.11217014, 7.078180055]",8,5,7267.96,6.67,"MultiPolygon (((127.00586754 37.51170261, 127.0060813 37.51177818, 127.00608552 37.51176769, 127.00616412 37.51179791, 127.00617994 37.5117618, 127.00622373 37.51177524, 127.00620421 37.51180967, 127.00618628 37.51180337, 127.00605679 37.51204977, 127.00"
apartment_1165010125,쌍용예가클래식,0.145911127,205,216,2950.95,거짓,1978,20.60265754,,9,매주,매주,1,35622750.47,,685,"[3.881991396, 9.985209744, 13.32549285, 19.66313889, 24.12483881, 15.57799868, 9.157794753, 4.283534881]",11,5,7087.57,18.45,"MultiPolygon (((126.98826559 37.49335782, 126.98729592 37.49296133, 126.98723924 37.49298139, 126.98708801 37.49352828, 126.98712578 37.49354835, 126.98696825 37.49411028, 126.98700602 37.4941705, 126.98755382 37.49439635, 126.9876483 37.49435622, 126.98"
apartment_1165010829,현대슈퍼빌,4.875388622,1529,645,2459,거짓,2003,18.52112165,,10,매주,매주,1,32593399.26,,661,"[1.068714351, 7.496168492, 16.39053473, 19.66038352, 22.36130466, 17.62123103, 11.55254302, 3.849120201]",15,11,10191.66,32.74,"MultiPolygon (((127.01613289 37.48239166, 127.01501357 37.48191634, 127.01493296 37.48191995, 127.0148969 37.48196564, 127.01507164 37.48230421, 127.01491085 37.48328065, 127.01671023 37.48399501, 127.01736607 37.48292556, 127.01622275 37.48244013, 127.0"
apartment_1165010605,잠원월드메르디앙,1.095437288,132,107,1399.68,거짓,2002,20.03146023,,11,매주,매주,1,17463828.53,,317,"[0.09142117, 2.677179715, 11.84278959, 18.95571212, 24.69484417, 22.07307357, 14.70026144, 4.964718229]",10,4,6189,22.73,"MultiPolygon (((127.01702841 37.512618, 127.01677674 37.51232974, 127.01671816 37.51235995, 127.01649412 37.51234351, 127.01650099 37.51226663, 127.01625455 37.51225019, 127.01617372 37.5130725, 127.01623059 37.51307661, 127.01633226 37.51302032, 127.016"
apartment_1165010119,방배아크로리버,3.505049388,373,222,2226.47,거짓,2004,18.51912774,,12,매주,매주,1,33997610.16,,290,"[2.112002182, 8.558511123, 15.65495429, 18.35173931, 22.7246829, 17.51574538, 10.93043988, 4.151924931]",23,16,8391.22,21.79,"MultiPolygon (((126.98469854 37.49829372, 126.98476594 37.49805861, 126.98498875 37.49809868, 126.98512984 37.49756624, 126.98447343 37.4974762, 126.98378478 37.49748678, 126.98384919 37.49756442, 126.98417236 37.49787832, 126.98446572 37.49814548, 126.9"
apartment_1165010837,서초한신리빙타워,1.625761032,163,103,4270.02,거짓,1999,21.02249527,,12,매주,매주,1,29370955.46,,402,"[4.036018208, 10.66842362, 13.93072887, 18.0055196, 24.23522118, 16.85719459, 8.891599714, 3.375294223]",17,5,5926.98,14.33,"MultiPolygon (((127.01008391 37.4840664, 127.01009016 37.48404401, 127.00997455 37.4840266, 127.00997143 37.48404899, 127.00974648 37.48401915, 127.00965278 37.48429533, 127.01026203 37.48436495, 127.01031198 37.48409873, 127.01008391 37.4840664)))"
apartment_1165010840,서초이오빌,0.895205557,333,462,4270.02,거짓,2003,19.02828544,,13,매주,매주,1,17468197.14,,540,"[1.088781937, 6.492844128, 15.71665517, 21.19740832, 24.69903988, 18.45303374, 9.870935208, 2.481301608]",26,15,4556.71,-1.89,"MultiPolygon (((127.01278969 37.48671711, 127.0128218 37.4866525, 127.01289733 37.48667565, 127.01303483 37.4867178, 127.01317962 37.48642614, 127.01318505 37.4864274, 127.01318968 37.48641803, 127.01289739 37.4863248, 127.01285318 37.48631075, 127.01284"
apartment_1165010849,서초래미안,4.42011261,1818,1129,9226.37,거짓,2003,17.35409982,,15,매주,매주,1,47282366.91,,441,"[3.480076051, 9.57355665, 13.11279426, 21.44833259, 24.44156609, 15.59816658, 9.548483672, 2.797024104]",8,4,8472.29,17.42,"MultiPolygon (((127.01909993 37.50017556, 127.02013346 37.49744703, 127.02000833 37.49746342, 127.01963229 37.49752109, 127.01926279 37.4974656, 127.01923499 37.49743499, 127.01913609 37.49740289, 127.01866852 37.49728792, 127.01832253 37.49784494, 127.0"
apartment_1165010302,동고,5.818644206,281,330,3058.12,거짓,1995,18.85589425,,15,매주,매주,1,31847560.67,,531,"[0.767097438, 2.608073549, 7.961068289, 13.3628547, 17.80133764, 19.74261095, 22.31066955, 15.44628788]",1,8,5960.08,12.34,"MultiPolygon (((127.02436836 37.4710623, 127.02421068 37.47094176, 127.02421637 37.47093499, 127.02403307 37.47080261, 127.02389276 37.47092012, 127.02320279 37.47044803, 127.02311975 37.4703887, 127.02308793 37.47039538, 127.02304743 37.47048539, 127.02"
apartment_1165010308,서초네이처힐4단지,0.835418403,466,409,5807.4,거짓,2011,19.37087228,,16,매주,매주,1,40819509.24,,530,"[0.777866038, 7.94517367, 8.909217347, 16.07930497, 26.79531212, 19.39779669, 13.91765748, 6.177671684]",10,4,4166.29,3.48,"MultiPolygon (((127.02518717 37.46382678, 127.02590356 37.46446465, 127.02624065 37.46424075, 127.0262687 37.46416218, 127.02657754 37.46398304, 127.0266618 37.46397204, 127.027055 37.46363605, 127.02712523 37.46345696, 127.02711106 37.46333364, 127.0270"
